Rank,Team,2020 punts-got-blocked-per-game
1,Dallas,0.0
1,Atlanta,0.0
1,Washington,0.0
1,Pittsburgh,0.0
1,New Orleans,0.0
1,Las Vegas,0.0
1,Detroit,0.0
1,Chicago,0.0
1,Jacksonville,0.0
1,NY Jets,0.0
1,Miami,0.0
1,Cleveland,0.0
1,Houston,0.0
1,Tampa Bay,0.0
1,Arizona,0.0
1,New England,0.0
1,Kansas City,0.0
1,Buffalo,0.0
1,Carolina,0.0
1,Cincinnati,0.0
1,Baltimore,0.0
1,Seattle,0.0
23,LA Rams,0.1
23,Green Bay,0.1
25,Tennessee,0.1
25,Indianapolis,0.1
27,San Francisco,0.1
27,Denver,0.1
27,NY Giants,0.1
27,Philadelphia,0.1
31,Minnesota,0.1
32,LA Chargers,0.2
